state,name,memory,hs
AL,Alabama,16.4,31.6
AK,Alaska,7.5,28.4
AZ,Arizona,10.8,24.3
AR,Arkansas,15.9,34.9
CA,California,10.8,20.9
CO,Colorado,7.8,21.9
CT,Connecticut,8.7,27.5
DE,Delaware,10.5,31.2
DC,District of Columbia,9.3,18.2
FL,Florida,11.6,29.6
GA,Georgia,11.4,28.4
HI,Hawaii,7,28.5
ID,Idaho,8.7,28.2
IL,Illinois,8.1,26.7
IN,Indiana,10.8,34.3
IA,Iowa,8.3,31.7
KS,Kansas,9.9,26.5
KY,Kentucky,16,33.8
LA,Louisiana,14.5,33.8
ME,Maine,9.8,32.3
MD,Maryland,8.6,25.7
MA,Massachusetts,11.9,24.9
MI,Michigan,12.6,29.7
MN,Minnesota,8.3,25.7
MS,Mississippi,16.2,30
MO,Missouri,11.6,31.4
MT,Montana,10.7,30.6
NE,Nebraska,7.9,27.2
NV,Nevada,11.3,28.2
NH,New Hampshire,9.8,28.6
NJ,New Jersey,8.8,28.2
NM,New Mexico,12.1,26.4
NY,New York,9.5,26.6
NC,North Carolina,10.8,26.6
ND,North Dakota,7.1,27.9
OH,Ohio,11.6,33.9
OK,Oklahoma,12.8,31.7
OR,Oregon,11.7,24.3
PA,Pennsylvania,10.4,36.4
RI,Rhode Island,10.3,28.7
SC,South Carolina,12.9,30.3
SD,South Dakota,8.1,30.6
TN,Tennessee,14.4,33.3
TX,Texas,10,25.2
UT,Utah,9.5,23
VT,Vermont,9.8,30.7
VA,Virginia,9.6,24.6
WA,Washington,10.2,22.8
WV,West Virginia,14.8,41.1
WI,Wisconsin,9.5,31.9
WY,Wyoming,7.5,27.4
PR,Puerto Rico,12.5,27.9
